artist,song,video
  Tears For Fears , Everybody Wants To Rule the World,Boys Of Summer
 Tortoise , TNT,Alien Workshop - Photosynthesis
 Philip Glass , Glassmasters,Alien Workshop - Photosynthesis
 Slowdive , When The Sun Hits,Burnage 2
 Stratovarius , Dreamspace,Burnage 2
 Dr. Dog , Do The Trick,"What Time, When?"
 George Benson , Give Me The Night,"What Time, When?"
 The Carter Family , Engine 143,Lemonade!
 Hotels , Leilani,Lemonade!
 Yuck , Georgia,Lemonade!
 Dead Man's Bones , Paper Ships,Lemonade!
  Cro Mags , We Gotta Know,Church of Skatan - Wild In The Streets
  Controller 7 , ?,Think - Free At Last Vol. 2 - The Am Video
  Cinematic Orchestra , ?,Think - Free At Last Vol. 2 - The Am Video
 Fela Kuti , Funky Horn,High Grade Blend
 Fela Kuti , Expensive Shit,High Grade Blend
 Butthole Surfers , P.s.y.,411VM - Issue 10
 Howie B. Inc , Head West,411VM - Issue 10
 DJ Krush , Dig This Vibe,411VM - Issue 10
 Rockets From The Tombs ," Ain't It Fun
",In Search Of The Miraculous
 Focus ," Hocus Pocus
",In Search Of The Miraculous
  The Ziggens , I Hate,Roll Models
  Scream , Hygene,Roll Models
  Scream , Solidarity,Roll Models
  Arkham , On This Path,Elevate - Levitate
  Freak Virus And Freak Show Crew , Oblivious State,Elevate - Levitate
 Electric President , Lullaby,A Happy Medium 2
 Oh Fortuna , St. Bernardino's Fire,A Happy Medium 2
 Philip Glass , Anima Mundi soundtrack,Alien Workshop - Photosynthesis
 The Concretes , On The Radio,Burnage 2
 Division Of Laura Lee , Pretty Electric,Burnage 2
 Girl Talk , Make Me Wanna,"What Time, When?"
 DJ Nelson , Black Ninja,"What Time, When?"
 Jessica Jalbert ," Whatever, Whoever","What Time, When?"
  Circle Jerks , Wild In The Streets,Church of Skatan - Wild In The Streets
  War , Spill The Wine,Church of Skatan - Wild In The Streets
 ? , Nebraska Fight Song,So Omaha
 RJD2 , Iced Lightning,So Omaha
 Metallica , Fight Fire With Fire,Prime - Fight With Fire
 Van Morrison , Domino,Prime - Fight With Fire
 Mr. Lif , 360 Degrees,High Grade Blend
 Amampondo & Airto Moreira , Giya Kasiamore,High Grade Blend
 Notorious B.I.G. , Mo Money Mo Problems,411VM - Issue 22
 Alyasha , Waterwalker,411VM - Issue 10
 Alyasha , Sitarmadilloblues,411VM - Issue 10
 Bracket , P.c.,411VM - Issue 10
 Bracket , Closed Caption,411VM - Issue 10
  Beck , Missing,Elwood - 1st & Hope
  Beck , Nausea,Elwood - 1st & Hope
 Cortex ," We Are The Dead
",In Search Of The Miraculous
 Sue Harshe ," Rythmus 21
",In Search Of The Miraculous
  Scream , Came Without Warning,Roll Models
  Scream , Walking Sound Dub,Roll Models
  2323R , Discursive Grandiloquence,Elevate - Levitate
  For Stars , How It Goes,Elevate - Levitate
  Thumbtack Smoothie , Math Is Hard,Elevate - Levitate
 Electric President ," Adrift in Space, Or Whatever",A Happy Medium 2
 Radical Face , Doorways,A Happy Medium 2
 James , Laid,"What Time, When?"
  Organized Konfusion , Releasing Hypnotical Gases,Church of Skatan - Wild In The Streets
  Chad Muska , Muskabeats,Church of Skatan - Wild In The Streets
 Paul Wall , I'm a Playa (feat. Three 6 Mafia),So Omaha
 Andrew Bird , Fake Palindromes,So Omaha
 Gap Band , You Drop The Bomb On Me,Prime - Fight With Fire
 Husker Du , Eiffel Tower High,Prime - Fight With Fire
 The Beatles , Day Tripper,Prime - Fight With Fire
 UMC's , Never Never Land,Santa Cruz - BPSW: Big Pants Small Wheels
 Capelton , Rollin Hard (feat. Sizzla),High Grade Blend
 Prefuse 73 , Busy Signal (Make You Go Bombing remix),High Grade Blend
 Xploding Plastix ," Sports, Not Heavy Crime",Puzzle Video 17
 Blak Twang , Vow,Puzzle Video 17
 Dr Octagon , 3000,411VM - Issue 22
 The John Coltrane Quartet , Africa,411VM - Issue 22
 Jamiroquai , Digital Vibrations,411VM - Issue 22
 Mobb Deep , Cradle To The Grave,411VM - Issue 10
 The Specials , Rat Race,411VM - Issue 10
  Beck , Go It Alone,Elwood - 1st & Hope
  Beck , Rental Car,Elwood - 1st & Hope
  Beck , I've Seen The Land Beyond,Elwood - 1st & Hope
 Iggy Pop & James Williamson ," Night Theme
",In Search Of The Miraculous
 Iggy Pop & James Williamson ," I Got Nothin'
",In Search Of The Miraculous
  Rhythm Collision , After Hours,Roll Models
  No Use For A Name , 51 Days,Roll Models
  D.B.S. , Snowball,Roll Models
  Black Modem , Ed And Charlie,Elevate - Levitate
  Pancake Circus , Whistling Moon Travellers With Report,Elevate - Levitate
 Alabama Shakes , You Ain't Alone,"What Time, When?"
  Prince Paul , Money Clip,Church of Skatan - Wild In The Streets
  Dead Kennedys , Riot,Church of Skatan - Wild In The Streets
 The Concretes , You Can't Hurry Love,So Omaha
 Mamas and the Papas , California Dreamin',So Omaha
 Shiny Toy Guns , You Are The One,So Omaha
 Stars , This Charming Man,So Omaha
 Simon And Garfunkel , Mrs. Robinson,Prime - Fight With Fire
 Van Morrison , Moon Dance,Prime - Fight With Fire
 Green Day , One Of My Lies,Santa Cruz - BPSW: Big Pants Small Wheels
 Helmet , Unsung,Santa Cruz - BPSW: Big Pants Small Wheels
 Slim And The Soulful Saints , Fish Head,High Grade Blend
 Ripple ," I Don't Know What It Is, But It Sure Is Funky",High Grade Blend
 Biffy Clyro , 57,Puzzle Video 17
 J,Live ,Puzzle Video 17
 Last Days Of April , Too Close,Puzzle Video 17
 Ghostface Killah , Daytona 500,411VM - Issue 22
 Dodgeball , Intro,411VM - Issue 22
 Attica Blues , Tender (Organised Konfusion remix),411VM - Issue 22
 Guru , Respect The Architect,411VM - Issue 10
 Tha Alkoholiks , All The Way Live,411VM - Issue 10
  Beck , Black Tambourine,Elwood - 1st & Hope
  Beck , Diamond Bollocks,Elwood - 1st & Hope
  Beck , Girl,Elwood - 1st & Hope
 Gray ," Drum Mode
",In Search Of The Miraculous
 Pink Floyd ," Pow. R Toh H
",In Search Of The Miraculous
  D.B.S. , Real Man,Roll Models
  R.K.L. , Scab On My Brain,Roll Models
  Freedom For Saturn , FSU,Elevate - Levitate
  Spragg , Dig My Grave,Elevate - Levitate
  FSU , Skate And Destroy,Elevate - Levitate
 Sea Wolf , Wicked Blood,"What Time, When?"
 Danger Mouse & Sparklehorse , Just War,"What Time, When?"
  Angry Samoans , I Lost,Church of Skatan - Wild In The Streets
  Slayer , Hell Awaits,Church of Skatan - Wild In The Streets
 Notorious B.I.G. ," New York, New York (feat. Frank Sinatra)",So Omaha
 ? , Lambretta Twist,So Omaha
 Smashing Pumpkins , 1979,So Omaha
 Black Moon , Who Got The Props,Prime - Fight With Fire
 EPMD , Strictly Business,Prime - Fight With Fire
 Pink Floyd , Interstellar Overdrive,Ekta - Telecine
 Andre Nickatina , Coka Cola,Ekta - Telecine
 Stereophonics , More Life In A Tramp's Vest,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Buena Vista Social Club , Candela,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 The Animals , Its My Life,Escapist - Through Being Nice
 Scott H. Biram ," Blood, Sweat And Murder",Escapist - Through Being Nice
 Black Sabbath , Iron Man,Santa Cruz - BPSW: Big Pants Small Wheels
 Pantera , Fucking Hostile,Santa Cruz - BPSW: Big Pants Small Wheels
 Hextatic , Communication Breakdown,High Grade Blend
 Hextatic , Deadly Media,High Grade Blend
 DJ Vadim , The Terrorist (Mr. Scruff remix),High Grade Blend
 Architechture In Helsinki , Do The Whirlwind,High Grade Blend
  The Sick , Traitor,Underdog
 Luna , Lovedust,Puzzle Video 17
 Jamiroquai , Alright,411VM - Issue 22
 Mephisto Odyssey , Dream Of The Black Dahlia,411VM - Issue 22
 The Obvious , Detached,411VM - Issue 10
 Ramones , Have A Nice Day,411VM - Issue 10
 Rhythm Collision , Now,411VM - Issue 10
  Beck , Hollow Log,Elwood - 1st & Hope
  Beck , Emergency Exit,Elwood - 1st & Hope
 Devo ," Uncontrollabe Urge
",In Search Of The Miraculous
 Joy Division ," Atmosphere
",In Search Of The Miraculous
  Yard Trauma , Watching Monster Movies,Roll Models
  Yard Trauma , One Sided Suicide,Roll Models
  Los Marauders , Los Marauders,Roll Models
  Freedom For Saturn , Waiting For The Second Hand,Elevate - Levitate
  Intro Noises , Chris Pew,Elevate - Levitate
 A Tribe Called Quest , Buggin' Out,"What Time, When?"
  Misfits , Last Caress,Church of Skatan - Wild In The Streets
  Herbie Hancock , Rockit,Church of Skatan - Wild In The Streets
 Snow Patrol , Shut Your Eyes,So Omaha
 Moby , In My Heart,So Omaha
 Manitoba , Crayons,So Omaha
 Mamas And The Papas , California Dreaming,Prime - Fight With Fire
 Creedence Clearwater Revival , Fortunate Son,Prime - Fight With Fire
 Black Sabbath , Into The Void,Ekta - Telecine
 The Rolling Stones , Ventilator Blues,Ekta - Telecine
 Dinosaur Jr , Where'd You go,Ekta - Telecine
 Rosemary Clooney , Mambo Italiano,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Tom Waits , Starving in the Belly of a Whale,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Division Of Laura Lee , Need To Get Some,Escapist - Through Being Nice
 Ilya , Isola,Escapist - Through Being Nice
 Sick Of It All , Injustice System,Santa Cruz - BPSW: Big Pants Small Wheels
 Lemonheads , Burying Ground,Santa Cruz - BPSW: Big Pants Small Wheels
 Jerry Goldsmith ," Fanfare And Prologue, ""Gremlins"" soundtrack",ULC - Gremlination
 Let It Ride , Lucky Red Pen,Nike SB - On Tap
 Party Time , Landmine,Nike SB - On Tap
 Philip Glass , Norbu Plays,High Grade Blend
 Ras Attitude , Kette Drum,High Grade Blend
 Climber , Alright,High Grade Blend
 Anthony B , Police,High Grade Blend
  Nashia , Melodic Thought,Underdog
  Calexico , Minas De Cobre (for Better Metal),Underdog
 Russell Goodwine Jr , Out Of Order,411VM - Issue 22
 Fiona Apple , Sleep To Dream,411VM - Issue 22
 Combine , Ephidrene,411VM - Issue 10
 Bad Religion , Atomic Garden,411VM - Issue 10
  Beck , Earthquake Weather (Mario C. remix),Elwood - 1st & Hope
  Beck , Que Onda Guero (Money Mark remix),Elwood - 1st & Hope
 Gray ," So Far So Real
",In Search Of The Miraculous
 A Flock Of Seagulls ," Seven Seas
",In Search Of The Miraculous
 Edward Sharpe & The Magnetic Zeros ," Home
",In Search Of The Miraculous
  The Mummies , Die,Roll Models
  Loud Mouths , Tiger Girl,Roll Models
  Soda , Old Things Haunt,Roll Models
  Peter Tosh , Legalize It,Church of Skatan - Wild In The Streets
 3rd Eye Blind , Semi,So Omaha
 Harry McClintock , Big Rock Candy Mountains,So Omaha
 Van Morrison , Gloria,Prime - Fight With Fire
 Ane Brun , What I Want,Neighbours
 The Smiths , Sweet and Tender Hooligan,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 The Cult , Fire Woman,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Portastatic , Looking for Leonard theme,Transworld - Subtleties
 Pacific Stereo , Goth Rocker vs. Sunday Afternoon,Transworld - Subtleties
 Drakkar Sauna , Lessons to Teach a Child,Escapist - Through Being Nice
 Grey Matter , Flash In Time,Santa Cruz - BPSW: Big Pants Small Wheels
 Run DMC , Peter Piper,Santa Cruz - BPSW: Big Pants Small Wheels
 Pulse Programming , Off To Do Showery Snapshots,Nike SB - On Tap
 Fantasy Tank , Fucknew,Nike SB - On Tap
 Riddempaa , Kwan,Nike SB - On Tap
 The Herbaliser , Gadget Funk,ULC - Gremlination
 Ian McKeith , Keep On Running,ULC - Gremlination
 Les Fleurs De Lys , Circles,High Grade Blend
 Four Tet , Twenty Three,High Grade Blend
 Stereolab , Crest,High Grade Blend
  The Bellrays , Dark Horse Pigeon,Underdog
  Don Harper , Purple Blues,Underdog
  Beck , Electric Music And The Summer People,Elwood - 1st & Hope
  Beck , Thunderpeel,Elwood - 1st & Hope
 Lars Lydstedt Sextet ," The Runner
",In Search Of The Miraculous
 Swell Maps ," Robot Factory
",In Search Of The Miraculous
 The Jam ," News Of The World
",In Search Of The Miraculous
  Christ On A Crutch , Caveat Emptor,Roll Models
  Wayne Newton , Danke Schoen,Church of Skatan - Wild In The Streets
 Death In Vegas , Hands Around My Throat,Girl - Harsh Euro Barge
 Kosheen , Suicide (Slip and Slide),Girl - Harsh Euro Barge
 707 Team , ?,Puzzle Video - January/February 2008
 Ane Brun , So You Did It Again,Neighbours
 Toivo Kärki , Täysikuu,Neighbours
 The Hives , Hate To Say I Told You So,Neighbours
 Pulp , Like a Friend,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 American Military Band , Taps,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Lindsay Upshaw , Agency Flute Jingle,Stereo - Way Out East!
 The Humpers , Drunk Tank,Transworld - Subtleties
 Trans Am , Outmoder,Transworld - Subtleties
 KY Brigante , We Never Stop (instrumental),Transworld - Subtleties
 The Deadly 17s , Highway Triple Six,Escapist - Through Being Nice
 Les Savy Fav , The Sweat Descends,Escapist - Through Being Nice
 Agnostic Front , One Voice,Santa Cruz - BPSW: Big Pants Small Wheels
 Beastie Boys , Namaste,Santa Cruz - BPSW: Big Pants Small Wheels
 Plastic Little , Foil (instrumental),Nike SB - On Tap
 Fantasy Tank , Plexiglass,Nike SB - On Tap
 Main Flow , Perform Around States,ULC - Gremlination
 Andrew W.K. , Victory Strikes Again,ULC - Gremlination
 Mr. Perfect , High Grade Tree,High Grade Blend
 Prefuse 73 , One Word Extinguisher,High Grade Blend
 Grandaddy , Skateboarding Saves Me Twice,High Grade Blend
  Money Mark , Doo Doo Doo,Elwood - 1st & Hope
  Beck , The New Pollution (Mario C. & Mickey P. remix),Elwood - 1st & Hope
 Johan Hansson ," ?
",In Search Of The Miraculous
 Joy Division ," Decades
",In Search Of The Miraculous
 The Strokes , Someday,Girl - Harsh Euro Barge
 Palace Of Pleasure , Betty Ford Here We Come,Neighbours
 Moneybrother , Theyre Building Walls Around Us,Neighbours
 Richard Ashcroft , Crazy World,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Morrissey ," The More You Ignore Me, The Closer I Get","Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 The Fabulous Three , Whitesands Pt. II,Stereo - Way Out East!
 Calypso King & The Soul Investigators , Gator Funk Pt. I,Stereo - Way Out East!
 The Fabulous Three , Answer Me Softly Pt. I,Stereo - Way Out East!
 Louie Vega , Jungle Fever,Transworld - Subtleties
 The Sea and Cake , To The Author,Transworld - Subtleties
 Gwen Stefan , Now That You Got It,35th Avenue - Apples & Oranges
 Spoon , Two Sides of Monsieur Valentine,35th Avenue - Apples & Oranges
 Swollen Members , Put Me On,Red Dragon - Eurofest
 Old Canes , One Day,Escapist - Through Being Nice
 Earth And Fire , Ruby Is The One,Escapist - Through Being Nice
  Euphone , Nick Is Ryan,Tony Hawk's Secret Skatepark Tour 2
  Halfway To Gone , Black Night,Tony Hawk's Secret Skatepark Tour 2
 Deee,Lite ,Santa Cruz - BPSW: Big Pants Small Wheels
 Green Day , 2000 Light Years Away,Santa Cruz - BPSW: Big Pants Small Wheels
 The Fitness , Booty,Nike SB - On Tap
 The Herbaliser , Shorty's Judgement,ULC - Gremlination
 The Dayglo Abortions , Bedtime Story,ULC - Gremlination
 Manitoba , Hendrix With Ko,High Grade Blend
 Mano Chao , La Marea,High Grade Blend
  Beck , Broken Drum (Boards of Canada remix),Elwood - 1st & Hope
  Beck , End Of The Day,Elwood - 1st & Hope
  Beck , Jack,Elwood - 1st & Hope
 Aphrodite's Child ," The Four Horsemen
",In Search Of The Miraculous
 Golden Boy & Miss Kittin , Rippin Kittin,Girl - Harsh Euro Barge
 Palace Of Pleasure , One Night At Greniandshaugen,Neighbours
 Bigbang , From Acid To Zen And Back Again,Neighbours
 The Cure , Lovecats,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Sid Vicious , My Way,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
" Steven Stern, Luis Ziober, Renato Cupim ", Termite,The Reality of Bob Burnquist
" Steven Stern, Luis Ziober, Renato Cupim ", Peace It (live),The Reality of Bob Burnquist
 The Herb Johnson Settlement , Get It Pt. I,Stereo - Way Out East!
 Midlake , Kingfish Pies,Stereo - Way Out East!
 JT for Mr. E Productions , B,Transworld - Subtleties
 Ocean Colour Scene , Hundred Mile High City,Transworld - Subtleties
 Bjork , Who Is It (Vitalic mix),35th Avenue - Apples & Oranges
 Deerhoof , Spirit Dittle of No Tone,35th Avenue - Apples & Oranges
 Renee Renee , Paper Boy,Red Dragon - Eurofest
 Currency , Sole Man,Red Dragon - Eurofest
  Euphone , Cryations,Tony Hawk's Secret Skatepark Tour 2
  A Small Victory , Blind Man's Holiday,Tony Hawk's Secret Skatepark Tour 2
 Marvin Gaye , I Heard It Through The Grapevine,ULC - Gremlination
 Dio , Holy Diver,ULC - Gremlination
 Jaylib , McNasty Filth,Nike SB - On Tap
 Les Savy Fav , The Sweat Descends,Nike SB - On Tap
 Wazulu , Track 14,High Grade Blend
 Notorious B.I.G. , Respect,High Grade Blend
 Climber , Shake,High Grade Blend
  Beck , Macadamia,Elwood - 1st & Hope
 DB Boulevard , Point Of View,Girl - Harsh Euro Barge
  Ram Squad , Ballers,Girl - Harsh Euro Barge
 Soundtrack Of Our Lives , Transcedental Suicide,Neighbours
 Ane Brun , Drowning In Those Eyes,Neighbours
 Blur , The Universal,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
 Suede , The 2 of Us,"Coliseum - P.J. Ladd's Wonderful, Horrible, Life"
  Dean Burnquist , Freight Train,The Reality of Bob Burnquist
 Laybac , What You Make It (feat. Renee Renee),The Reality of Bob Burnquist
 Midlake , The Jungler,Stereo - Way Out East!
 Midlake , No One Knew Where We Were,Stereo - Way Out East!
 Calypso King & The Soul Investigators , Investigator's Groove,Stereo - Way Out East!
 Styles Of Beyond , Style Wars (feat. DJ Rhettmatic),411VM - Issue 38
 Slippers , Dartanyan Brown,411VM - Issue 38
 JT for Mr. E Productions , Feel Free,Transworld - Subtleties
 Modest Mouse , Paper Thin Walls,Transworld - Subtleties
 Necro , Death Rap,DC - King of New York
 Mr. E , Catch,DC - King of New York
 Teddybears , Yours To Keep,35th Avenue - Apples & Oranges
 Say Hi To Your Mom , Twenty,35th Avenue - Apples & Oranges
 Sacred Hoop , Look Everybody (instrumental),Thrasher - Timebomb
 MYG , Sinista Circus,Thrasher - Timebomb
 Isolation Years , Frosted Minds,UpNorth - Issue 1
 Astma & Rockwell , Kill That Beat,UpNorth - Issue 1
 Renee Renee , Paper Boy,Red Dragon - Eurofest
 Cory Valach , Pure Funk,Red Dragon - Eurofest
 Bulcue One , U Don't Know,Red Dragon - Eurofest
  The Diplomats of Solid Sound , El Corazon Negro,Tony Hawk's Secret Skatepark Tour 2
  The Frenetics , Running Up,Tony Hawk's Secret Skatepark Tour 2
 Danny Elfman , Gremlins Theme,ULC - Gremlination
 Gordon Neville , Tell It Like It Is,ULC - Gremlination
 A.C. Newman , The Town Halo,Nike SB - On Tap
 Madvillain , All Caps,Nike SB - On Tap
 Let It Ride , Lucky Red Pen,Nike SB - On Tap
  Orbital , Illuminate,Girl - Harsh Euro Barge
 The Mellowmen , Get Out Of Shape Part 1,Neighbours
 The Mellowmen , Get Out Of Shape Part 1,Neighbours
 Palace Of Pleasure , Musikkpolitiets Marsj,Neighbours
 Chorão & Charlie Brown Jr. , Senhor do Tempo,The Reality of Bob Burnquist
 Detroit Sex Machines , The Stretch Pt. I,Stereo - Way Out East!
 The Fabulous Three , Odyssey Revised,Stereo - Way Out East!
 Midlake , They Cannot Let It Expand,Stereo - Way Out East!
 Del Ray , Jet Above Water,Thrasher - Jaded
 DJ Frane , 420247,411VM - Issue 38
 Vandals , People That Are Going To Hell,411VM - Issue 38
 Cocktails , The Asteroid Field,411VM - Issue 38
 Mos Def , If You Can Huh...,411VM - Issue 38
 Emperor Penguin , Streets and Stars,Transworld - Subtleties
 Pacific Stereo , Come On (Go Stereo),Transworld - Subtleties
 Mr. E , Thinking,DC - King of New York
 Muse , Starlight,35th Avenue - Apples & Oranges
 Simon Dupree and the Big Sound , Kites,35th Avenue - Apples & Oranges
 V.A.K.E.P.O.R. , Track #1 & Track #4,Thrasher - Timebomb
 Rocket from the Crypt , Straight American Slave,Thrasher - Timebomb
 Lisa Miskovsky , Midnight Sun,UpNorth - Issue 1
 Sherlock , Made To Measure,UpNorth - Issue 1
  The Proles , The Turnaround,Tony Hawk's Secret Skatepark Tour 2
  Classified , Talking Shit,Tony Hawk's Secret Skatepark Tour 2
  Cub Country , Hollow Sidewalks,Tony Hawk's Secret Skatepark Tour 2
 The Doors , Love Her Madly,ULC - Gremlination
 Fantasy Tank , Fireworks,Nike SB - On Tap
 Fantasy Tank , Roema,Nike SB - On Tap
  DJ Rush , Motherfucking Bass,Girl - Harsh Euro Barge
 Peowns Project , Track #3,Neighbours
 Mew , Am I Wry? No,Neighbours
  Carlinhos Zodi , Guarau 1,The Reality of Bob Burnquist
 Chorão & Charlie Brown Jr. , Vermes,The Reality of Bob Burnquist
 Midlake , Some of them Were Superstitious,Stereo - Way Out East!
 Pedro The Lion , Big Trucks,Thrasher - Jaded
 Dead Legend , Supposed To,Thrasher - Jaded
 Lagwagon , Owen Meaney,411VM - Issue 38
 Roots , Act Too (the Love Of My Life),411VM - Issue 38
 Money Mark , World Lesson Pt.II,Stereo - Tincan Folklore
 Rhymefest , Build Me Up (feat. ODB),35th Avenue - Apples & Oranges
 The Zombies , Just Out of Reach,35th Avenue - Apples & Oranges
 Mr. E , Lost,DC - King of New York
 Mr. E , Pocket,DC - King of New York
 Mr. E , Feel Free,DC - King of New York
 Rocket from the Crypt , Out of Control,Thrasher - Timebomb
 Sacred Hoop , Cremona (instrumental),Thrasher - Timebomb
 Kalle Baah , Natural Dub,UpNorth - Issue 1
 DJ Food , Well Hung,UpNorth - Issue 1
 Advance Patrol , Min Musik,UpNorth - Issue 1
  The Diplomats of Solid Sound , Triple Starch,Tony Hawk's Secret Skatepark Tour 2
  Brandston , C'mon Fascista,Tony Hawk's Secret Skatepark Tour 2
 Fantasy Tank , Lap Land,Nike SB - On Tap
  Cat Power , Cross Bones Style,Girl - Harsh Euro Barge
 Peowns Project , Track #4,Neighbours
 Jim Stärk , Morning Song,Neighbours
 Jim Stärk , Sleepless,Neighbours
 Maluco Doido , Eu Não Sou Maluco Não,The Reality of Bob Burnquist
 Greyboy , Son,The Reality of Bob Burnquist
 Fugazi , Version,Transworld - Interface
 Fugazi , Merchandise,Transworld - Interface
 Hieroglyphics , Oakland Blackouts,Transworld - Interface
 Alice Deejey , Better Off Alone,Deca - Sneak Preview
 Special Ed , The Magnificent,Deca - Sneak Preview
 Big Gamezmen , Big Game Hunters,Thrasher - Jaded
 Del Ray , Pastille,Thrasher - Jaded
 Aesop Rock , Flashflood,Thrasher - Jaded
  Archers Of Loaf , Underachievers March & Fight Song,Eastern Exposure 3: Underachievers
 Tom Waits , Dirtin The Ground,Another Trauma
 Animal Collective , Unsolved Mysteries,Another Trauma
 Declaime , Trouble N Da West,411VM - Issue 38
 No Fun At All , Break My Back,411VM - Issue 38
  Cevada , Untitled,HZC - Smoke Machine
  Dogg Master , Round And Round,HZC - Smoke Machine
  HZC Soundtrack , Bonus Track Dope 33,HZC - Smoke Machine
 Money Mark , Revolt of the Octopi,Stereo - Tincan Folklore
 David McWilliams , The Days of Pearly Spencer,35th Avenue - Apples & Oranges
 Camera Obscura , If Looks Could Kill,35th Avenue - Apples & Oranges
 David Bowie , What In The World,35th Avenue - Apples & Oranges
 Mr. E , Concentrate,DC - King of New York
 Kill Cheerleader , No Lullabies,DC - King of New York
 The Ziggens , Surfungus,Thrasher - Timebomb
 China McCloud , Do What You Do (instrumental),Thrasher - Timebomb
 Deportees , I Heard It Through The Bluegrass,UpNorth - Issue 1
  The Civiltones , Checkmate,Tony Hawk's Secret Skatepark Tour 2
 Palace Of Pleasure , Klynk,Neighbours
 Soundtrack Of Our Lives , Sister Surround,Neighbours
 Michael Franti , Love'll Set Me Free,The Reality of Bob Burnquist
 Frederick Grant III , Corpses,The Reality of Bob Burnquist
 DJ Poska , Funky Maestro,Transworld - Interface
 DJ Poska , Microphone Check,Transworld - Interface
 Tanner , AKA Meltdown,Transworld - Interface
 Method Man Redman , Y.O.U,Deca - Sneak Preview
 Prince Paul & Chubb Rock , Mr. Large,Deca - Sneak Preview
 Turkish Jai Tanju , Cadillac Gun Glub,Thrasher - Jaded
 Pedro The Lion , Rapture,Thrasher - Jaded
 Dk3 , The Travling Salesman,Thrasher - Jaded
  Dinosaur Jr. , On The Brink,Eastern Exposure 3: Underachievers
  Talking Heads , Once In A Lifetime,Eastern Exposure 3: Underachievers
 Nouvelle Vague , The Girl From Ipanema,Another Trauma
 Peter Bjorn and John , Let's Call It Off,Another Trauma
 Fugazi , Arpeggiator,411VM - Issue 38
 DJ Frane , Spin,411VM - Issue 38
  HZC SoundTrack , 33# Dope Mundo Loco,HZC - Smoke Machine
  Jazz Liberatorz , Ease My Mind,HZC - Smoke Machine
  HZC Soundtrack , HZC a Favor da Ganja,HZC - Smoke Machine
 Propellerheads , Bang on!,Birdhouse - The End
 Warren G , Regulate (feat. Nate Dogg),Birdhouse - The End
 Jay,Z ,35th Avenue - Apples & Oranges
 The Rolling Stones , In Another Land,35th Avenue - Apples & Oranges
 Money Mark , Mark's Keyboard Repair,Stereo - Tincan Folklore
 Tortoise , Magnet Pulls Through,Stereo - Tincan Folklore
 No Motiv , Going Numb,Thrasher - Timebomb
 Storytellers , Spanish Safari,Thrasher - Timebomb
  Bloodthirsty Lovers , Turning the World Upside Down,Tony Hawk's Secret Skatepark Tour 2
  The Skeletons , Welcome to...,Tony Hawk's Secret Skatepark Tour 2
 Sissy Wish , Let Us Meet The End,Neighbours
 Sissy Wish , The Six Feet Tall,Neighbours
 Sissy Wish , Doubledip Atari,Neighbours
 Carlinhos Zodi , Enquanto Isso,The Reality of Bob Burnquist
 Bob Burnquist , Living Hum,The Reality of Bob Burnquist
 Gus Gus , Believe,Transworld - Interface
 Miguel Kertsman , Aboio Grande,Transworld - Interface
 Sean Paul/DMX/Mr. Vegas , Here Comes The Boom,Deca - Sneak Preview
 Capone n Noreaga , Don't Want To,Deca - Sneak Preview
 McRad , Weakness,Thrasher - Jaded
 Sue Garner & Rick Brown , Asphalt Road,Thrasher - Jaded
 War , Low Rider,Blind - Video Days
 The Jackson 5 , I Want You Back,Blind - Video Days
  Archers Of Loaf , Lowest Part Is Free,Eastern Exposure 3: Underachievers
  Pete Rock & CL Smooth , All The Places,Eastern Exposure 3: Underachievers
 Notorious B.I.G. , intro,Another Trauma
 Devendra Banhart , Saved,Another Trauma
 Sol Invictus , A Steed For The Devil,Another Trauma
 DJ Frane , I Can Do My Thang,411VM - Issue 38
 Mos Def , Know That,411VM - Issue 38
  HZC Soundtrack , Relaxa Legal,HZC - Smoke Machine
  Joy Division , Transmission,HZC - Smoke Machine
 Har,You Percussion Group ,Birdhouse - The End
 Spazz , Sweet Home Alabama,Birdhouse - The End
 Portishead , Undenied,Birdhouse - The End
 We All Together , It's a Sin To Go Away,35th Avenue - Apples & Oranges
 Fiona Apple , Across The Universe,35th Avenue - Apples & Oranges
 Swingin' Utters , Come On,Stereo - Tincan Folklore
 Pao , Mister Sunshine,Stereo - Tincan Folklore
 Tommy Guerrero , Soul Miner,Stereo - Tincan Folklore
 Sacred Hoop , Dumb Rabbit (instrumental),Thrasher - Timebomb
 Turnedown , Broken Necklace,Thrasher - Timebomb
  What Made Milwaukee Famous , Selling Yourself Short,Tony Hawk's Secret Skatepark Tour 2
